立案時間,派工項目,案件地址,經緯度,longitude,latitude
2017/10/6 11:07,交通標誌及設施物損壞(含汙損)、傾斜,中正區台北市中正區大埔街40之9號,"(25.0319451, 121.504837)",25.0319451, 121.504837
2017/10/6 11:15,路樹處理,內湖區內湖路二段253巷,"(25.0832627, 121.5893693)",25.0832627, 121.5893693
2017/10/6 12:35,路燈故障或設施損壞,松山區,"(25.0541591, 121.5638621)",25.0541591, 121.5638621
2017/10/6 12:57,交通號誌異常,大安區,"(25.0261583, 121.5427093)",25.0261583, 121.5427093
2017/10/6 13:31,交通號誌異常,大安區,"(25.0261583, 121.5427093)",25.0261583, 121.5427093
2017/10/6 13:51,雨水下水道側溝清淤,士林區延平北路七段176巷42號,"(25.1016696, 121.4910449)",25.1016696, 121.4910449
2017/10/6 13:55,交通號誌異常,萬華區中華路二段364巷,"(25.0288036, 121.5043186)",25.0288036, 121.5043186
2017/10/6 14:05,鄰里無主垃圾清運,中山區龍江路,"(25.0572357, 121.5405891)",25.0572357, 121.5405891
2017/10/6 14:24,路燈故障或設施損壞,松山區,"(25.0541591, 121.5638621)",25.0541591, 121.5638621
2017/10/6 14:24,鄰里無主垃圾清運,萬華區萬華區興寧街5號,"(25.0323949, 121.5019277)",25.0323949, 121.5019277
2017/10/6 14:31,鄰里無主垃圾清運,士林區111台灣台北市士林區至善路三段281號,"(25.121648, 121.5857217)",25.121648, 121.5857217
2017/10/6 14:39,鄰里無主垃圾清運,大安區安和路一段,"(25.0372679, 121.5516278)",25.0372679, 121.5516278
2017/10/6 14:46,交通標誌及設施物損壞(含汙損)、傾斜,大同區103台灣台北市大同區迪化街一段312巷2號,"(25.0616415, 121.509077)",25.0616415, 121.509077
2017/10/6 15:11,交通號誌異常,士林區,"(25.0950492, 121.5246077)",25.0950492, 121.5246077
2017/10/6 15:27,道路掏空,士林區111台灣台北市士林區大南255號,"(25.0889695, 121.5183984)",25.0889695, 121.5183984
2017/10/6 15:33,交通號誌異常,內湖區,"(25.0689422, 121.5909027)",25.0689422, 121.5909027
